index,artist_id,artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
60,0,Angeline Quinto,Panghabang Panahon - Minus One,7.95783,6.10271,3.82808,7.94833,2.07117,4.75917,1.06034,5.10736,1.89909,1.37113
61,0,Angeline Quinto,Wag Mo Akong Iwan Mag Isa - Minus One,4.45181,3.91905,2.08913,3.38906,2.24453,4.39997,1.08812,5.65534,2.01421,1.37113
62,0,Angeline Quinto,Sana Ngayon Lang Ang Kahapon - Minus One,4.29819,5.51518,3.50372,9.22492,2.07117,4.89098,1.05172,5.95314,2.21523,1.37113
63,0,Angeline Quinto,Patuloy Ang Pangarap - Alternate Version of Minus One,1.80783,6.27897,4.8282,7.13678,2.34489,4.97507,1.08812,5.38991,2.92792,1.37113
64,1,Jona,Fairytale,1.00229,5.89707,9.27919,9.72644,4.03285,6.62923,1.09674,6.09319,6.18985,5.17526
65,1,Jona,Supernovacane,1.00764,5.44663,9.34226,1.31459,1.68887,7.3477,1.08908,6.42048,6.0802,5.36082
66,1,Jona,Jiggle It,1.00967,6.50419,8.29709,8.34954,2.33577,6.62419,1.22318,7.26913,6.8203,5.45361
67,1,Jona,Back It Up,1.05991,7.79676,8.79265,1.00104,4.16971,7.00697,1.2433,5.62218,4.75533,4.71134
68,1,Jona,VIBR8,1.04518,5.38788,9.24315,4.06383,1.68978,7.21032,1.4454,4.66679,2.56244,5.73196
69,1,Jona,Bad Bitches (feat. Megan Thee Stallion),1.00298,8.43325,8.33313,3.99088,1.4635,7.18609,1.15134,5.19938,5.23959,5.73196
70,1,Jona,Back In Time,1.09759,8.08073,8.42323,1.00725,1.55839,6.52026,1.35824,5.85957,4.7736,5.08247
71,1,Jona,Hitta (feat. Juicy J),1.15361,7.58133,9.61257,1.00006,4.13321,7.68943,1.4636,6.09973,4.4264,6.47423
72,1,Jona,House Party,1.2991,7.52258,8.89176,1.05188,1.47628,6.70853,2.31801,2.80295,6.19898,5.26804
73,1,Jona,Candy Kid,1.00034,6.38668,9.8198,6.32523,1.91606,7.17156,1.38602,6.3326,4.86497,4.71134
74,1,Jona,Pushin Stacks,1.00592,6.50419,9.12602,5.769,2.88321,6.52941,1.90613,5.86079,5.53198,4.52577
75,1,Jona,Shockwave,1.20873,6.06354,8.88275,1.00004,1.88869,7.57527,1.43774,6.98916,4.75533,7.40206
76,1,Jona,Bad Bitches,1.00298,8.43325,8.33313,3.99088,1.4635,7.18609,1.15134,5.19938,5.23959,3.2268
77,1,Jona,Hitta,1.15361,7.58133,9.61257,1.00006,4.13321,7.68943,1.4636,6.09973,4.4264,3.41237
